task_id,department,section,line,task_type,duration_minutes,earliest_start,latest_finish,criticality,defect_severity,asset_criticality,failure_consequence,deferral_history,mandatory,requires_traffic_block,requires_power_isolation,requires_snt_disconnection
ENG-001,ENGINEERING,Kurla-Chembur,UP,Rail Grinding,90,2026-08-27T00:00:00+05:30,2026-08-30T04:00:00+05:30,5,5,5,4,1,true,true,false,false
ENG-002,ENGINEERING,Thane-Kurla,DOWN,Rail Inspection,45,2026-08-27T00:00:00+05:30,2026-08-29T04:00:00+05:30,3,3,4,3,0,true,true,false,false
ENG-003,ENGINEERING,Chembur-Mankhurd,UP,Sleeper Replacement,60,2026-08-28T00:00:00+05:30,2026-08-31T04:00:00+05:30,4,4,4,4,1,false,true,false,false
ENG-004,ENGINEERING,Kurla-Chembur,DOWN,Track Geometry Check,45,2026-08-27T00:00:00+05:30,2026-08-29T02:00:00+05:30,2,2,3,2,0,false,true,false,false
ENG-005,ENGINEERING,Kurla-Chembur,UP,Drainage Inspection,30,2026-08-27T00:00:00+05:30,2026-08-28T01:00:00+05:30,3,3,3,3,0,false,true,false,false
ENG-006,ENGINEERING,Thane-Kurla,UP,Ultrasonic Rail Testing,60,2026-08-29T00:00:00+05:30,2026-08-29T02:00:00+05:30,4,4,5,4,1,true,true,false,false
ENG-007,ENGINEERING,Kurla-Chembur,DOWN,Points and Crossing Inspection,60,2026-08-29T02:00:00+05:30,2026-08-29T04:00:00+05:30,4,3,5,4,1,true,true,false,false
ENG-008,ENGINEERING,CSMT-Dadar,UP,Rail Weld Ultrasonic Testing,60,2026-08-27T04:30:00+05:30,2026-08-27T06:30:00+05:30,5,4,5,5,1,true,true,false,false
ENG-009,ENGINEERING,Dadar-Kurla,DOWN,Turnout Geometry Correction,60,2026-08-28T04:30:00+05:30,2026-08-28T06:30:00+05:30,4,4,5,4,1,true,true,false,false
ENG-010,ENGINEERING,Mankhurd-Vashi,DOWN,Expansion Joint Inspection,60,2026-08-27T07:00:00+05:30,2026-08-27T09:00:00+05:30,4,3,4,4,1,true,true,false,false
