slot_id,section,line,start_time,end_time,block_type,traffic_block,power_isolation,snt_disconnection
SLOT-001,Kurla-Chembur,UP,2026-08-27T00:00:00+05:30,2026-08-27T01:00:00+05:30,FULL_BLOCK,true,true,true
SLOT-002,Kurla-Chembur,UP,2026-08-27T01:00:00+05:30,2026-08-27T03:30:00+05:30,FULL_BLOCK,true,true,true
SLOT-003,Kurla-Chembur,DOWN,2026-08-28T00:00:00+05:30,2026-08-28T03:00:00+05:30,FULL_BLOCK,true,true,true
SLOT-004,Thane-Kurla,DOWN,2026-08-28T00:30:00+05:30,2026-08-28T03:30:00+05:30,FULL_BLOCK,true,false,true
SLOT-005,Chembur-Mankhurd,UP,2026-08-29T01:00:00+05:30,2026-08-29T03:00:00+05:30,FULL_BLOCK,true,true,false
SLOT-006,Thane-Kurla,UP,2026-08-28T00:30:00+05:30,2026-08-28T02:00:00+05:30,FULL_BLOCK,true,false,true
SLOT-007,Chembur-Mankhurd,DOWN,2026-08-29T00:30:00+05:30,2026-08-29T02:30:00+05:30,FULL_BLOCK,true,true,false
SLOT-008,Kurla-Chembur,UP,2026-08-28T00:00:00+05:30,2026-08-28T03:30:00+05:30,FULL_BLOCK,true,true,true
SLOT-009,Thane-Kurla,UP,2026-08-29T00:00:00+05:30,2026-08-29T02:00:00+05:30,FULL_BLOCK,true,true,true
SLOT-010,Kurla-Chembur,DOWN,2026-08-29T02:00:00+05:30,2026-08-29T04:00:00+05:30,FULL_BLOCK,true,true,true
SLOT-011,Chembur-Mankhurd,UP,2026-08-30T01:00:00+05:30,2026-08-30T03:00:00+05:30,FULL_BLOCK,true,true,true
SLOT-012,CSMT-Dadar,UP,2026-08-27T04:30:00+05:30,2026-08-27T06:30:00+05:30,FULL_BLOCK,true,true,true
SLOT-013,Dadar-Kurla,DOWN,2026-08-28T04:30:00+05:30,2026-08-28T06:30:00+05:30,FULL_BLOCK,true,true,true
SLOT-014,Ghatkopar-Vikhroli,UP,2026-08-29T04:30:00+05:30,2026-08-29T06:30:00+05:30,FULL_BLOCK,true,true,true
SLOT-015,Mankhurd-Vashi,DOWN,2026-08-27T07:00:00+05:30,2026-08-27T09:00:00+05:30,FULL_BLOCK,true,true,true
