criticality,defect_severity,asset_criticality,failure_consequence,deferral_history,mandatory,duration_minutes,restoration_minutes,power_isolation,snt_disconnection,department_risk,window_hours,traffic_block,failure_after_deferral,safety_escalation,emergency_intervention,disruption_minutes,maintenance_effectiveness,outcome_risk_score
5,2,5,1,5,1,60,15,1,1,0.86,4.0,1,1,0,0,172.4049863015409,0.8460105769954981,0.46571591714467575
4,3,2,5,8,1,30,30,0,1,0.72,48.0,1,1,1,0,89.41118283232626,0.5233627868225286,0.6729720601439739
1,1,4,3,1,1,30,20,0,1,0.86,1.5,1,1,0,0,88.00846332004019,0.7967425131423077,0.4129003329600653
3,4,1,4,5,0,90,0,0,0,0.82,1.5,1,1,0,0,116.57773367614539,0.6456877420408019,0.4425203471745741
5,4,5,3,1,1,45,60,0,0,0.86,96.0,0,1,0,1,77.66631692736831,0.6498565306501841,0.6062875874727327
3,4,5,1,6,0,75,45,0,0,0.72,72.0,0,1,0,0,108.10153093003825,0.7029528915025203,0.43286098488151575
4,5,3,4,5,0,180,15,1,0,0.86,3.0,0,1,0,0,70.87499829757898,0.5992448089742138,0.4153028622368577
4,3,5,4,1,1,90,15,0,0,0.72,4.0,1,1,0,1,22.528232160538593,0.7542242114873884,0.5622231266362419
4,1,3,4,0,1,75,15,0,0,0.86,1.5,0,1,0,0,63.56968706381148,0.7537942537234589,0.39961419361523226
4,2,4,3,3,0,75,0,0,1,0.72,1.5,1,1,1,0,91.31923155818419,0.7799652077241792,0.6562819231647636
1,4,3,3,1,0,75,15,0,0,0.82,4.0,1,1,0,1,54.36741618778001,0.6686008542229305,0.5894428843295816
3,5,2,4,5,1,45,15,0,0,0.86,48.0,1,1,1,0,47.77257645703401,0.5782213661570493,0.641372888673696
3,1,3,5,1,1,60,30,0,0,0.86,2.0,1,0,1,1,56.98198945671576,0.8071063026086623,0.4814905517885375
5,3,1,3,8,1,60,10,0,0,0.82,12.0,1,1,0,1,71.9254813916536,0.6395380368453006,0.6031826583485981
5,1,4,2,2,1,75,0,0,0,0.82,48.0,1,0,0,0,49.10048210949098,0.7326823833785245,0.05144588790316394
5,3,4,5,7,1,180,60,0,1,0.72,8.0,1,1,0,1,29.851262744187633,0.7465345806241979,0.5676434211857646
4,1,5,4,3,0,60,0,1,0,0.72,2.0,1,1,0,1,79.37348922371629,0.6561157701604646,0.6069875555712451
3,2,4,5,8,0,75,60,0,0,0.82,24.0,1,1,1,0,94.80736924821683,0.7290884279620428,0.6621687228748017
4,3,4,1,4,0,45,20,1,0,0.86,3.0,1,1,0,1,105.98111428534202,0.7041512359804262,0.6213634896715982
5,4,1,1,2,0,30,15,0,1,0.86,4.0,1,1,0,1,83.51571343760924,0.631980103768253,0.6114385350279617
