movement_id,movement_type,section,line,start_time,end_time,service_name,priority
P-001,PASSENGER,Thane-Kurla,UP,2026-08-27T00:20:00+05:30,2026-08-27T00:35:00+05:30,Thane Slow Local,3
P-002,PASSENGER,Kurla-Chembur,UP,2026-08-27T00:40:00+05:30,2026-08-27T00:55:00+05:30,Harbour Fast Local,5
P-003,PASSENGER,Kurla-Chembur,UP,2026-08-27T03:40:00+05:30,2026-08-27T03:55:00+05:30,Chembur Local,3
P-004,PASSENGER,Kurla-Chembur,DOWN,2026-08-27T01:10:00+05:30,2026-08-27T01:25:00+05:30,CSMT Harbour Local,5
P-005,PASSENGER,Chembur-Mankhurd,UP,2026-08-29T00:30:00+05:30,2026-08-29T00:50:00+05:30,Mankhurd Local,3
P-006,PASSENGER,Thane-Kurla,DOWN,2026-08-28T01:00:00+05:30,2026-08-28T01:20:00+05:30,Kalyan Fast Local,5
P-007,PASSENGER,Chembur-Mankhurd,DOWN,2026-08-29T02:15:00+05:30,2026-08-29T02:30:00+05:30,Panvel Local,3
P-008,PASSENGER,Kurla-Chembur,UP,2026-08-27T04:00:00+05:30,2026-08-27T04:15:00+05:30,Vashi Fast Local,5
P-009,PASSENGER,Kurla-Chembur,DOWN,2026-08-27T02:15:00+05:30,2026-08-27T02:30:00+05:30,Chembur Local,3
P-010,PASSENGER,Thane-Kurla,UP,2026-08-28T02:30:00+05:30,2026-08-28T02:45:00+05:30,Thane Fast Local,3
